Prop.2-Type,,,40/70 White,40/70 White,40/70 White,40/70 White,40/70 White,40/70 White,40/70 White,40/70 White,40/70 White,40/70 White,40/70 White,40/70 White,40/70 Resin,40/70 White,40/70 White,40/70 White,40/70 White,40/70 White,40/70 White,40/70 White,40/70 White,40/70 White,40/70 White,40/70 White,40/70 Resin,40/70 White,40/70 White,40/70 White,40/70 White,40/70 White,-,-
Prop.2-Amount (lbs),,,"188,320","188,360","123,300","119,800","128,560","127,280","261,120","258,640","257,860","253,440","260,920","258,120","255,840","260,620","263,100","259,740","262,220","259,740","260,380","231,640","260,100","260,300","146,300","191,020","213,180","256,580","258,480","253,800","260,000","259,940","6,838,700","227,957"
Prop.2-Design (lbs),,,"260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","260,000","7,800,000","260,000"
Prop.2-Percent Placed,,,72.40%,72.40%,47.40%,46.10%,49.40%,49.00%,100.40%,99.50%,99.20%,97.50%,100.40%,99.30%,98.40%,100.20%,101.20%,99.90%,100.90%,99.90%,100.10%,89.10%,100.00%,100.10%,56.30%,73.50%,82.00%,98.70%,99.40%,97.60%,100.00%,100.00%,-,88%
Prop.3-Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-
Prop.3-Amount (lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-
Prop.3-Design (lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-
Prop.3-Percent Placed,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-,-
Total Proppant Amount (lbs),,,"328,880","329,020","265,640","260,460","272,280","267,420","401,540","400,180","398,620","398,840","400,480","403,380","398,620","400,100","403,260","400,400","400,540","397,180","400,500","378,600","400,620","401,800","290,880","334,620","358,260","402,100","398,820","394,780","399,720","400,560","11,088,100","369,603"
Total Proppant Design (lbs),,,"400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","12,000,000","400,000"
Total Prop % Placed,,,82.20%,82.30%,66.40%,65.10%,68.10%,66.90%,100.40%,100.00%,99.70%,99.70%,100.10%,100.80%,99.70%,100.00%,100.80%,100.10%,100.10%,99.30%,100.10%,94.70%,100.20%,100.50%,72.70%,83.70%,89.60%,100.50%,99.70%,98.70%,99.90%,100.10%,-,92%
Flush Volume (bbls),,,283,312,511,220,323,286,298,291,284,278,274,256,266,260,255,255,252,245,240,233,230,229,222,218,241,208,208,154,198,195,"7,725",258
Cut Short (X),,,X,X,X,X,X,X, , , , ,X, ,X, , ,X, , , ,X, , ,X,X,X, , ,X, , ,14,
Screen Out (X),,,X, , ,X, , , , , , , ,X, , , , , , , , , , , , , , , ,X, , ,4,
Stimulation Cost ($),,,"$45,364 ","$51,735 ","$46,152 ","$36,261 ","$41,061 ","$44,669 ","$48,143 ","$47,880 ","$50,788 ","$51,644 ","$44,540 ","$46,925 ","$48,498 ","$51,220 ","$48,881 ","$42,295 ","$48,901 ","$45,525 ","$48,717 ","$44,419 ","$45,808 ","$45,051 ","$36,452 ","$41,852 ","$43,253 ","$45,419 ","$45,232 ","$45,112 ","$42,959 ","$45,641 ","$1,370,398 ","$45,680 "
Chemical Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acid % Strength,,,15,15,7.5,15,15,15,15,15,15,15,7.5,7.5,7.5,15,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,-,10
Total Acid (gals),,,"8,941","3,200","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","1,500","3,000","3,000","1,500","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","93,141","3,105"
Total Slickwater (bbls),,,"6,159","5,348","4,750","5,180","6,416","7,700","8,466","7,631","7,483","7,658","7,442","7,844","8,902","7,740","7,611","7,217","7,751","7,618","7,682","7,333","7,618","7,722","5,710","6,606","7,465","8,025","7,941","7,889","7,957","8,077","218,941","7,298"
Total Linear (bbls),,,,"1,576",932,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,508","1,254"
Total XL (Bbls),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-
FR Amount (gals),,,330,300,270,136,120,250,335,185,175,210,220,220,200,240,220,242,250,255,261,265,268,200,200,230,265,202,234,244,245,235,"7,007",234
Gel Amount (gals or lbs),,,,"1,573",896,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,469","1,235"
Breaker Amount (gals or lbs),,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5
Scale Inhibitor (gals),,,35,50,25,20,25,30,25,25,25,45,30,35,35,40,30,30,25,35,25,35,45,25,25,30,40,30,40,35,20,40,955,32
Biocide (gals),,,80,290,100,60,75,65,90,90,75,95,85,90,105,85,105,70,100,100,85,85,95,95,85,85,75,110,89,90,95,105,"2,854",95
Additional Chemical Cost ($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
Perforation Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pump Down Volume (Bbls),,,570,706,303,289,312,265,201,272,258,265,229,231,233,204,186,198,177,176,166,160,147,138,123,128,99,98,82,89,86,67,"6,458",215
Shot Density (s/ft),,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-,6
Total Shots,,,24,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,-,39
Hole Size (in),,,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,-,0.42
Plug Depth,,,,"14,167","13,969","13,771","13,575","13,375","13,177","12,979","12,781","12,583","12,385","12,187","11,989","11,791","11,593","11,395","11,197","10,999","10,801","10,603","10,405","10,207","10,009","9,811","9,613","9,415","9,210","9,019","8,821","8,623",-,-
Plug Type,,,,Bridge Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,Ball Drop Plug,-,-
Cluster 1 Top TD,,,"14,226","14,146","13,948","13,750","13,552","13,354","13,156","12,958","12,760","12,562","12,364","12,166","11,968","11,770","11,572","11,374","11,176","10,978","10,780","10,582","10,384","10,186","9,988","9,790","9,592","9,394","9,196","8,998","8,800","8,594",-,-
Cluster 1 Bottom TD,,,"14,228","14,148","13,950","13,752","13,554","13,356","13,158","12,960","12,762","12,564","12,366","12,168","11,970","11,772","11,574","11,376","11,178","10,980","10,782","10,584","10,386","10,188","9,990","9,792","9,594","9,396","9,186","9,000","8,802","8,596",-,-
Cluster 2 Top TD,,,"14,206","14,107","13,909","13,711","13,513","13,315","13,117","12,919","12,721","12,523","12,325","12,127","11,929","11,731","11,533","11,335","11,134","10,939","10,741","10,537","10,345","10,152","9,945","9,751","9,553","9,350","9,157","8,959","8,761","8,563",-,-
Cluster 2 Bottom TD,,,"14,208","14,109","13,911","13,713","13,515","13,317","13,119","12,921","12,723","12,525","12,327","12,129","11,931","11,733","11,535","11,337","11,136","10,941","10,743","10,539","10,347","10,154","9,947","9,753","9,555","9,352","9,159","8,961","8,763","8,565",-,-
Cluster 3 Top TD,,,"14,186","14,067","13,869","13,671","13,473","13,275","13,077","12,883","12,681","12,483","12,285","12,087","11,889","11,691","11,493","11,295","11,091","10,899","10,701","10,506","10,305","10,107","9,915","9,711","9,513","9,315","9,117","8,919","8,721","8,523",-,-
Cluster 3 Bottom TD,,,"14,188","14,069","13,871","13,673","13,475","13,277","13,079","12,885","12,683","12,485","12,287","12,089","11,891","11,693","11,495","11,297","11,093","10,901","10,703","10,508","10,307","10,109","9,917","9,713","9,515","9,317","9,119","8,921","8,723","8,525",-,-
Cluster 4 Top TD,,,,"14,028","13,830","13,632","13,438","13,236","13,038","12,840","12,642","12,444","12,246","12,048","11,850","11,652","11,454","11,256","11,058","10,860","10,662","10,464","10,266","10,068","9,870","9,672","9,474","9,276","9,076","8,877","8,682","8,484",-,-
Cluster 4 Bottom TD,,,,"14,030","13,832","13,634","13,440","13,238","13,040","12,842","12,644","12,446","12,248","12,050","11,852","11,654","11,456","11,258","11,060","10,862","10,664","10,466","10,268","10,070","9,872","9,674","9,476","9,278","9,078","8,879","8,684","8,486",-,-
Cluster 5 Top TD,,,,"13,988","13,790","13,592","13,394","13,201","12,998","12,800","12,602","12,404","12,206","12,008","11,810","11,612","11,414","11,216","11,018","10,820","10,622","10,424","10,224","10,028","9,830","9,640","9,434","9,236","9,040","8,840","8,642","8,444",-,-
Cluster 5 Bottom TD,,,,"13,990","13,792","13,594","13,396","13,203","13,000","12,802","12,604","12,406","12,208","12,010","11,812","11,614","11,416","11,218","11,020","10,822","10,624","10,426","10,226","10,030","9,832","9,642","9,436","9,238","9,042","8,842","8,644","8,446",-,-
Cluster 6 Top TD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-
Cluster 6 Bottom TD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-
Cluster 7 Top TD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-
Cluster 7 Bottom TD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-
Stage Length (ft),,,191,228,198,198,193,203,198,198,198,198,198,198,198,198,198,198,198,198,198,198,200,198,198,198,206,198,196,198,198,198,-,199
Plug Cost ($),,,,"$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$46,000 ","$1,484 "
Pump Down / Perforate Cost ($),,,"$5,200 ","$5,200 ","$5,200 ","$5,200 ","$5,200 ","$5,200 ","$5,200 ","$5,200 ","$5,200 ","$5,200 ","$5,200 ","$5,200 ","$5,200 ","$1,500 ","$5,200 ","$4,200 ","$4,200 ","$4,200 ","$5,200 ","$5,200 ","$5,200 ","$5,200 ","$5,200 ","$5,200 ","$5,200 ","$5,200 ","$5,200 ","$5,200 ","$5,200 ","$5,200 ","$157,300 ","$4,916 "
Stage Average Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proppant Concentration  (Lb/ft),,,"1,722","1,443","1,342","1,315","1,411","1,317","2,028","2,021","2,013","2,014","2,023","2,037","2,013","2,021","2,037","2,022","2,023","2,006","2,023","1,912","2,003","2,029","1,469","1,690","1,739","2,031","2,035","1,994","2,019","2,023",-,"1,917"
Proppant Concentration (Lb/gal),,,1.2,1.1,1.1,1.2,1.1,0.8,1.1,1.2,1.3,1.2,1.3,1.2,1.1,1.2,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.2,1.2,1.1,1.2,1.2,-,1.2
Fluid Load (bbls/ft),,,33,30.4,28.7,26.7,31.8,38.3,43.2,38.9,38.2,39.1,37.9,40,45.3,39.3,38.8,36.8,39.5,38.8,39.1,37.7,38.4,39.4,29.2,36.7,36.6,40.9,40.9,42.3,40.6,41.2,-,38.8
Gel Volume (%),,,,23%,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,1.30%
Pad Volume (%),,,9%,9%,11%,11%,10%,8%,7%,8%,9%,8%,8%,8%,13%,8%,9%,8%,8%,8%,7%,9%,8%,8%,10%,9%,8%,13%,12%,12%,13%,13%,-,9%
Overflush Volume (bbls),,,-32,1,205,-82,26,-7,9,7,4,3,3,-11,4,2,2,6,7,5,4,2,3,6,4,4,32,3,7,-42,6,7,-,14.5
Total Stage Cost ($),,,"$50,564 ","$58,435 ","$52,852 ","$42,961 ","$47,761 ","$51,369 ","$54,843 ","$54,580 ","$57,488 ","$58,344 ","$51,240 ","$53,625 ","$55,198 ","$54,220 ","$55,581 ","$47,995 ","$54,601 ","$51,225 ","$55,417 ","$51,119 ","$52,508 ","$51,751 ","$43,152 ","$48,552 ","$49,953 ","$52,119 ","$51,932 ","$51,812 ","$49,659 ","$52,341 ","$1,563,198 ","$52,107 "
