,,Northeast Natural MIP 5H Survey 0ft to 14454ft MD,,,,,,,,,,,,,,
,7362,67.97,12.64,7141.71,6059.71,422.37,490.52,41.47,1.83,1.12,-1.56,402165.39,1834378.36,N   39 36 11.45,W   79 58 33.65,4.73
,7456,69.91,11.02,7175.49,6093.49,491.58,576.37,59.44,2.62,2.06,-1.72,402251.24,1834396.34,N   39 36 12.30,W   79 58 33.43,4.8
,7550,72.28,10.95,7205.95,6123.95,562.54,663.66,76.38,2.52,2.52,-0.07,402338.52,1834413.28,N   39 36 13.16,W   79 58 33.22,4.87
,7644,72.28,10.99,7234.56,6152.56,634.01,751.57,93.42,0.04,0,0.04,402426.42,1834430.32,N   39 36 14.03,W   79 58 33.00,4.92
,7739,73.25,11.46,7262.7,6180.7,706.18,840.57,111.09,1.13,1.02,0.49,402515.41,1834447.98,N   39 36 14.91,W   79 58 32.78,4.98
,7833,73.42,11.56,7289.66,6207.66,777.55,928.81,129.06,0.21,0.18,0.11,402603.65,1834465.95,N   39 36 15.79,W   79 58 32.56,5.02
,7927,73.34,11.23,7316.55,6234.55,849.03,1017.1,146.85,0.35,-0.09,-0.35,402691.94,1834483.74,N   39 36 16.66,W   79 58 32.34,5.06
,8021,73.34,11.2,7343.5,6261.5,920.68,1105.44,164.37,0.03,0,-0.03,402780.27,1834501.26,N   39 36 17.53,W   79 58 32.12,5.1
,8116,73.51,10.82,7370.6,6288.6,993.32,1194.81,181.76,0.42,0.18,-0.4,402869.64,1834518.64,N   39 36 18.42,W   79 58 31.90,5.14
,8210,73.16,8.25,7397.56,6315.56,1066.52,1283.61,196.67,2.65,-0.37,-2.73,402958.44,1834533.56,N   39 36 19.30,W   79 58 31.72,5.18
,8304,73.25,8.04,7424.72,6342.72,1140.93,1372.7,209.42,0.23,0.1,-0.22,403047.51,1834546.31,N   39 36 20.18,W   79 58 31.56,5.21
,8399,76.33,3.57,7449.65,6367.65,1218.76,1463.86,218.66,5.58,3.24,-4.71,403138.67,1834555.55,N   39 36 21.08,W   79 58 31.45,5.26
,8494,80.11,355.53,7469.07,6387.07,1302.54,1556.76,217.89,9.19,3.98,-8.46,403231.56,1834554.78,N   39 36 22.00,W   79 58 31.47,5.33
,8589,79.76,350.29,7485.69,6403.69,1390.96,1649.55,206.35,5.44,-0.37,-5.52,403324.35,1834543.24,N   39 36 22.91,W   79 58 31.62,5.37
,8684,80.11,344.11,7502.31,6420.31,1481.95,1740.71,185.64,6.42,0.37,-6.51,403415.51,1834522.52,N   39 36 23.81,W   79 58 31.89,5.42
,8778,81.51,338.37,7517.33,6435.33,1573.94,1828.53,155.8,6.21,1.49,-6.11,403503.32,1834492.69,N   39 36 24.68,W   79 58 32.28,5.47
,8873,86.92,330.48,7526.92,6444.92,1668.35,1913.68,115.02,10.03,5.69,-8.31,403588.46,1834451.91,N   39 36 25.52,W   79 58 32.81,5.52
,8967,94.7,327.66,7525.59,6443.59,1761.92,1994.23,66.75,8.8,8.28,-3,403669.01,1834403.65,N   39 36 26.31,W   79 58 33.43,5.57
,9062,91.89,324.69,7520.13,6438.13,1855.87,2073,13.96,4.3,-2.96,-3.13,403747.78,1834350.86,N   39 36 27.09,W   79 58 34.11,5.61
,9157,92.24,326.01,7516.71,6434.71,1949.75,2151.1,-40.01,1.44,0.37,1.39,403825.87,1834296.89,N   39 36 27.86,W   79 58 34.80,5.63
,9251,93.74,325.94,7511.8,6429.8,2042.72,2228.9,-92.54,1.6,1.6,-0.07,403903.66,1834244.37,N   39 36 28.62,W   79 58 35.48,5.66
,9346,92.33,324.57,7506.77,6424.77,2136.49,2306.85,-146.6,2.07,-1.48,-1.44,403981.61,1834190.31,N   39 36 29.39,W   79 58 36.18,5.69
,9441,93.47,322.71,7501.97,6419.97,2229.84,2383.25,-202.85,2.29,1.2,-1.96,404058,1834134.06,N   39 36 30.14,W   79 58 36.90,5.71
,9536,94.44,325.63,7495.41,6413.41,2323.23,2460.08,-258.32,3.23,1.02,3.07,404134.83,1834078.59,N   39 36 30.90,W   79 58 37.61,5.74
,9631,90.66,324.23,7491.19,6409.19,2416.95,2537.74,-312.84,4.24,-3.98,-1.47,404212.48,1834024.08,N   39 36 31.66,W   79 58 38.32,5.77
,9725,91.36,325.84,7489.53,6407.53,2509.81,2614.75,-366.7,1.87,0.74,1.71,404289.49,1833970.22,N   39 36 32.42,W   79 58 39.01,5.79
,9820,91.98,324.62,7486.76,6404.76,2603.67,2692.76,-420.85,1.44,0.65,-1.28,404367.49,1833916.07,N   39 36 33.19,W   79 58 39.71,5.82
,9915,92.51,325.76,7483.04,6401.04,2697.5,2770.7,-475.04,1.32,0.56,1.2,404445.43,1833861.89,N   39 36 33.96,W   79 58 40.40,5.84
,10010,92.77,324.23,7478.66,6396.66,2791.24,2848.43,-529.48,1.63,0.27,-1.61,404523.15,1833807.45,N   39 36 34.72,W   79 58 41.10,5.86
,10105,92.59,325.57,7474.22,6392.22,2884.96,2926.06,-584.04,1.42,-0.19,1.41,404600.78,1833752.89,N   39 36 35.49,W   79 58 41.81,5.88
,10200,92.42,324.5,7470.07,6388.07,2978.73,3003.84,-638.43,1.14,-0.18,-1.13,404678.56,1833698.5,N   39 36 36.25,W   79 58 42.51,5.9
,10295,91.45,322.11,7466.86,6384.86,3072.04,3079.96,-695.17,2.71,-1.02,-2.52,404754.67,1833641.78,N   39 36 37.00,W   79 58 43.24,5.92
,10390,91.89,322.7,7464.09,6382.09,3165.09,3155.2,-753.1,0.77,0.46,0.62,404829.91,1833583.85,N   39 36 37.74,W   79 58 43.98,5.94
,10485,90.92,321.58,7461.76,6379.76,3258.05,3230.18,-811.38,1.56,-1.02,-1.18,404904.88,1833525.57,N   39 36 38.48,W   79 58 44.73,5.96
,10580,92.51,323.86,7458.92,6376.92,3351.19,3305.73,-868.89,2.93,1.67,2.4,404980.43,1833468.06,N   39 36 39.22,W   79 58 45.47,5.98
,10675,90.84,321.81,7456.14,6374.14,3444.37,3381.4,-926.26,2.78,-1.76,-2.16,405056.09,1833410.7,N   39 36 39.97,W   79 58 46.21,6
,10770,91.01,323.59,7454.61,6372.61,3537.54,3456.95,-983.82,1.88,0.18,1.87,405131.64,1833353.14,N   39 36 40.71,W   79 58 46.95,6.02
,10864,91.1,324.47,7452.88,6370.88,3630.12,3533.02,-1039.02,0.94,0.1,0.94,405207.7,1833297.95,N   39 36 41.46,W   79 58 47.66,6.03
,10959,91.01,322.94,7451.13,6369.13,3723.6,3609.57,-1095.24,1.61,-0.09,-1.61,405284.25,1833241.73,N   39 36 42.22,W   79 58 48.38,6.05
,11053,90.66,322.56,7449.76,6367.76,3815.8,3684.39,-1152.13,0.55,-0.37,-0.4,405359.06,1833184.84,N   39 36 42.95,W   79 58 49.12,6.07
,11147,89.08,325.19,7449.97,6367.97,3908.35,3760.3,-1207.54,3.26,-1.68,2.8,405434.97,1833129.43,N   39 36 43.70,W   79 58 49.83,6.09
,11241,89.87,323.35,7450.83,6368.83,4001.01,3836.6,-1262.43,2.13,0.84,-1.96,405511.27,1833074.55,N   39 36 44.45,W   79 58 50.54,6.1
,11336,89.87,323.39,7451.05,6369.05,4094.4,3912.84,-1319.11,0.04,0,0.04,405587.5,1833017.87,N   39 36 45.20,W   79 58 51.27,6.12
,11430,89.87,323.18,7451.26,6369.26,4186.79,3988.19,-1375.31,0.22,0,-0.22,405662.85,1832961.68,N   39 36 45.94,W   79 58 51.99,6.13
,11525,89.78,324.42,7451.55,6369.55,4280.3,4064.85,-1431.41,1.31,-0.09,1.31,405739.5,1832905.57,N   39 36 46.70,W   79 58 52.71,6.15
,11620,90.13,322.61,7451.63,6369.63,4373.74,4141.23,-1487.9,1.94,0.37,-1.91,405815.88,1832849.09,N   39 36 47.45,W   79 58 53.44,6.16
,11715,89.87,323.62,7451.63,6369.63,4467.05,4217.21,-1544.92,1.1,-0.27,1.06,405891.86,1832792.07,N   39 36 48.20,W   79 58 54.17,6.18
,11809,89.78,324.24,7451.91,6369.91,4559.62,4293.19,-1600.26,0.67,-0.1,0.66,405967.83,1832736.73,N   39 36 48.95,W   79 58 54.88,6.19
,11904,90.22,323.58,7451.91,6369.91,4653.17,4369.96,-1656.22,0.83,0.46,-0.69,406044.59,1832680.78,N   39 36 49.70,W   79 58 55.60,6.2
,11999,90.04,322.96,7451.7,6369.7,4746.53,4446.1,-1713.04,0.68,-0.19,-0.65,406120.73,1832623.97,N   39 36 50.45,W   79 58 56.34,6.22
,12094,89.08,326.43,7452.43,6370.43,4840.29,4523.61,-1767.93,3.79,-1.01,3.65,406198.24,1832569.08,N   39 36 51.21,W   79 58 57.04,6.24
,12188,89.43,324.91,7453.65,6371.65,4933.3,4601.23,-1820.94,1.66,0.37,-1.62,406275.85,1832516.08,N   39 36 51.98,W   79 58 57.73,6.25
,12283,89.52,324.64,7454.52,6372.52,5027.09,4678.83,-1875.73,0.3,0.09,-0.28,406353.44,1832461.29,N   39 36 52.74,W   79 58 58.43,6.26
,12377,89.25,325.3,7455.53,6373.53,5119.94,4755.8,-1929.68,0.76,-0.29,0.7,406430.41,1832407.34,N   39 36 53.50,W   79 58 59.13,6.27
,12472,89.43,324.86,7456.62,6374.62,5213.8,4833.69,-1984.06,0.5,0.19,-0.46,406508.29,1832352.96,N   39 36 54.27,W   79 58 59.83,6.29
,12566,89.69,325.6,7457.35,6375.35,5306.72,4910.9,-2037.66,0.83,0.28,0.79,406585.5,1832299.36,N   39 36 55.03,W   79 59   0.52,6.3
,12661,89.34,324.66,7458.15,6376.15,5400.59,4988.84,-2091.97,1.06,-0.37,-0.99,406663.44,1832245.05,N   39 36 55.79,W   79 59   1.22,6.31
,12755,89.87,323.45,7458.8,6376.8,5493.2,5064.94,-2147.15,1.41,0.56,-1.29,406739.53,1832189.88,N   39 36 56.54,W   79 59   1.93,6.32
,12850,89.43,325.13,7459.38,6377.38,5586.85,5142.07,-2202.6,1.83,-0.46,1.77,406816.66,1832134.44,N   39 36 57.30,W   79 59   2.64,6.34
,12945,89.25,325.39,7460.47,6378.47,5680.76,5220.13,-2256.73,0.33,-0.19,0.27,406894.71,1832080.31,N   39 36 58.07,W   79 59   3.34,6.35
,13038,88.81,326.24,7462.05,6380.05,5772.82,5297.05,-2308.98,1.03,-0.47,0.91,406971.63,1832028.07,N   39 36 58.83,W   79 59   4.01,6.36
,13133,90.04,327.09,7463,6381,5867.05,5376.42,-2361.18,1.57,1.29,0.89,407050.99,1831975.87,N   39 36 59.61,W   79 59   4.68,6.37
,13228,89.87,324.73,7463.07,6381.07,5961.12,5455.09,-2414.42,2.49,-0.18,-2.48,407129.65,1831922.63,N   39 37   0.38,W   79 59   5.37,6.39
,13323,90.22,323.54,7463,6381,6054.73,5532.07,-2470.08,1.31,0.37,-1.25,407206.63,1831866.97,N   39 37   1.14,W   79 59   6.08,6.4
,13417,89.78,323.26,7463,6381,6147.15,5607.54,-2526.12,0.55,-0.47,-0.3,407282.09,1831810.93,N   39 37   1.89,W   79 59   6.81,6.41
,13511,89.87,323.3,7463.29,6381.29,6239.53,5682.88,-2582.32,0.1,0.1,0.04,407357.44,1831754.73,N   39 37   2.63,W   79 59   7.53,6.42
,13606,89.78,323.77,7463.58,6381.58,6332.97,5759.28,-2638.79,0.5,-0.09,0.49,407433.83,1831698.28,N   39 37   3.38,W   79 59   8.26,6.43
,13701,89.96,323.9,7463.79,6381.79,6426.5,5835.98,-2694.85,0.23,0.19,0.14,407510.52,1831642.22,N   39 37   4.13,W   79 59   8.98,6.44
,13796,89.69,323.93,7464.08,6382.08,6520.06,5912.75,-2750.8,0.29,-0.28,0.03,407587.29,1831586.27,N   39 37   4.89,W   79 59   9.70,6.45
,13890,90.4,324.58,7464.01,6382.01,6612.72,5989.04,-2805.71,1.02,0.76,0.69,407663.58,1831531.36,N   39 37   5.64,W   79 59 10.40,6.46
,13985,90.66,323.14,7463.13,6381.13,6706.25,6065.76,-2861.74,1.54,0.27,-1.52,407740.29,1831475.34,N   39 37   6.40,W   79 59 11.13,6.47
,14079,91.45,324.45,7461.4,6379.4,6798.77,6141.59,-2917.25,1.63,0.84,1.39,407816.12,1831419.83,N   39 37   7.14,W   79 59 11.84,6.48
,14173,91.28,320.82,7459.16,6377.16,6890.91,6216.27,-2974.27,3.86,-0.18,-3.86,407890.79,1831362.81,N   39 37   7.88,W   79 59 12.57,6.5
,14268,91.01,322.12,7457.26,6375.26,6983.65,6290.57,-3033.43,1.4,-0.28,1.37,407965.08,1831303.65,N   39 37   8.61,W   79 59 13.34,6.51
,14363,91.36,324.52,7455.3,6373.3,7077,6366.74,-3090.17,2.55,0.37,2.53,408041.25,1831246.92,N   39 37   9.36,W   79 59 14.07,6.52
Last MWD Survey,14416,91.8,320.99,7453.83,6371.83,7128.97,6408.9,-3122.23,6.71,0.83,-6.66,408083.41,1831214.87,N   39 37   9.77,W   79 59 14.48,6.53
Proj to TD,14454,91.8,320.99,7452.64,6370.64,7165.98,6438.42,-3146.13,0,0,0,408112.92,1831190.96,N   39 37 10.06,W   79 59 14.79,6.53
